Designator,Mid X,Mid Y,Rotation,Layer
C1,140.95,-99.9,0.0,top
C10,140.9375,-91.1,180.0,top
C11,161.65,-88.55,0.0,top
C12,147.35,-106.9,180.0,top
C13,147.75,-86.8,0.0,top
C14,140.9375,-103.1,180.0,top
C16,148.45,-112.375,270.0,top
C17,165.275,-94.1,0.0,top
C18,141.95,-112.375,270.0,top
C19,165.225,-100.4,0.0,top
C2,140.95,-94.4,0.0,top
C20,160.5151,-84.725839,90.0,bottom
C21,158.2651,-84.725839,90.0,bottom
C22,150.6151,-86.875839,270.0,bottom
C23,158.3151,-88.775839,90.0,bottom
C24,160.5151,-88.788339,90.0,bottom
C3,140.95,-86.75,180.0,top
C4,140.9375,-101.5,180.0,top
C5,155.9,-106.9,180.0,top
C6,163.2125,-91.75,0.0,top
C7,161.65,-86.85,0.0,top
C8,159.4,-106.9,0.0,top
C9,140.95,-92.75,180.0,top
D1,144.55,-79.85,90.0,top
D2,139.75,-79.85,90.0,top
D3,167.3,-87.6,270.0,bottom
D4,164.75,-87.6,270.0,bottom
D5,137.8,-104.4,0.0,bottom
D6,167.7625,-104.05,180.0,bottom
F1,166.1,-82.2,90.0,bottom
H1,131.0,-78.5,0.0,top
H2,131.0,-115.0,0.0,top
H3,174.0,-78.5,0.0,top
H4,174.0,-115.0,0.0,top
J1,152.846075,-79.5,180.0,top
J2,171.4875,-96.75,90.0,top
J3,133.5125,-96.75,90.0,bottom
JP1,157.55,-113.2,0.0,top
JP2,157.55,-110.4,0.0,top
R1,140.95,-85.05,0.0,top
R2,151.3,-86.8,180.0,top
R3,142.45,-79.85,90.0,top
R4,137.7,-79.85,90.0,top
TP1,146.45,-115.45,0.0,top
TP2,146.45,-109.35,0.0,top
TP3,168.15,-96.0,270.0,top
TP4,162.4,-96.0,270.0,top
U1,152.5,-96.75,270.0,top
U2,145.2,-112.35,180.0,top
U3,165.25,-97.25,270.0,top
U4,154.2276,-87.97565,0.0,bottom
X1,140.95,-97.175,0.0,top
