Designator,Mid X,Mid Y,Rotation,Layer
C1,105.7,-108.1,90.0,top
C10,103.45,-106.7,180.0,top
C11,103.45,-107.7,180.0,top
C12,104.55,-109.1,90.0,top
C13,104.55,-111.0,90.0,top
C14,117.0,-116.602,90.0,top
C15,115.6,-115.002,0.0,top
C16,113.7,-115.002,180.0,top
C17,104.6,-107.8,90.0,bottom
C18,118.5,-104.1,270.0,top
C19,118.5,-101.8,0.0,top
C2,108.6,-114.3,0.0,top
C20,111.9,-101.8,180.0,top
C21,111.9,-104.1,270.0,top
C22,108.3,-101.0,180.0,top
C23,106.3,-101.0,0.0,top
C24,104.9,-105.0,90.0,top
C3,105.7,-111.9,270.0,top
C4,105.7,-110.0,90.0,top
C5,111.4,-114.3,0.0,top
C6,114.3,-111.2,90.0,top
C7,117.0,-118.5,90.0,top
C8,114.3,-108.8,90.0,top
C9,118.5,-114.0,90.0,top
J1,110.0,-110.0,270.0,bottom
L1,116.0,-103.6,270.0,top
R2,118.0,-118.5,270.0,top
R3,115.4,-106.3,0.0,bottom
R4,117.5,-114.0,270.0,top
R5,115.4,-107.4,0.0,bottom
R6,104.6,-110.6,180.0,bottom
R7,104.6,-111.9,180.0,bottom
R8,113.8,-103.6,90.0,top
R9,111.5,-118.902,270.0,top
U1,110.0,-110.0,180.0,top
U2,102.25,-110.0,0.0,top
U3,114.25,-117.652,90.0,top
U4,107.3,-103.8,90.0,top
