Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C16, C18, C21, C22, C23, C24, C33, C34, C37, C40, C48, C50, C55, C57, C6, C60, C61, C62, C66, C67, C7, C73, C8, C81, C82, C83, C84, C9, C92, C93",0402,34,0.1uF,C85858
"C12, C17, C47, C56, C63, C65, C74, C76, C89",0805,9,22uF,C86816
"C13, C3, C5, C72, C91",0402,5,1uF,C77007
"C15, C27, C28, C29, C30, C58, C59",0402,7,10nF,C91601
"C19, C20, C25, C26, C51, C52, C53, C54, C70, C71, C85, C86, C87, C88",0603,14,0.1uF,C3011652
"C2, C4, C49",0402,3,2.2uF,C77002
"C31, C32, C90",0805,3,0.1uF,C882587
"C35, C36, C38, C41, C43, C45, C68, C69, C79",1210,9,10uF,C77102
"C39, C42, C44, C46",A786MW227M1HLAV011,4,220uF,A786MW227M1HLAV011
C64,0402,1,220nF,C126524
C75,0402,1,33pF,C126506
"C77, C78",1210,2,47uF,C77101
D1,EAST1616RGBB2,1,LED_RGBA,C6606484
"D10, D17",SOT-23,2,ESDCAN01-2BLY,C1976606
"D11, D12, D8, D9",D_SMA,4,SMAJ28A,C148227
"D13, D14, D15, D16, D4, D5, D6, D7",D_SOD-523,8,RB520S30T1G,C154821
"D18, D19",D_SMF,2,SMF15CA,C1851361
"D2, D3",D_SMA,2,SMAJ28CA,C148228
"D20, D21, D22",0603,3,RED,C2986060
"F1, F2",1206,2,20A,C2838910
"F3, F4, F5, F6",1206,4,10A,C41367232
"F7, F8",1206,2,1.5A,C883133
F9,1206,1,5A,C41367229
FB1,0402,1,BLM15AG121SN1D,C85812
J10,connector_Harwin_G125-MH104M4-04AD000P,1,G125-MH104M4-04AD000P,
J11,Movella-1374028,1,Movella-1374028,
J12,1374027,1,1374027,
J2,microSD_HC_Molex_47219-2001,1,Micro_SD_Card,C164170
"J3, J4",AMASS_XT30PW-M,2,XT30PW-M,
J5,G125MH10805M41AD1ADP,1,Motor 2,
J6,G125MH10805M41AD1ADP,1,Motor 1,
J7,G125MH10805M41AD1ADP,1,Motor 4,
J8,G125MH10805M41AD1ADP,1,Motor 3,
J9,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C165948
L1,SRP7050WA,1,4.7uH,C19947706
"Q1, Q2, Q3, Q4",PowerPAK_SO-8_Single,4,SIR626DP-T1-RE3,
"Q10, Q7, Q8, Q9",Infineon-PG-TSDSON-8,4,20N06D,C7543835
"Q5, Q6",2N7002W,2,2N7002W,C232391
"R1, R14, R16, R2, R33, R34, R37, R38, R41, R42, R47, R48, R49, R8",0402,14,10k,C144807
"R13, R15, R17, R19, R21, R23, R35, R36, R39, R40, R50, R52, R54, R55, R56, R59, R61, R67",0402,18,100k,C144809
"R18, R20",0402,2,3.16k,C227034
"R22, R24, R6, R7",0402,4,2.2k,C144773
"R25, R26",0402,2,0R,C226739
"R27, R28, R4, R5",0402,4,100R,C144808
"R29, R30",R_Shunt_Vishay_WSKW0612,2,1mR,C1517439
"R3, R72, R73",0402,3,330R,C226996
"R31, R32",0402,2,10R,C144805
"R43, R44, R65",0805,3,120R,C727984
"R45, R46",0402,2,5.1k,C144745
"R51, R53, R68",0402,3,19.1k,C226835
R57,0402,1,34k,C227006
R58,0402,1,681R,C416567
R60,0805,1,120R,
R62,0402,1,43.2k,C278596
"R63, R64, R69, R74, R75",0402,5,1k,C144789
R66,0402,1,0R,
"R70, R71",0805,2,5m,C728267
R76,0805,1,1M,C228604
R9,1206,1,5.1k,C229719
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H733VGTx,
"U10, U11, U12, U9",SOT-23-6,4,LM74700,
"U13, U16, U6",TCAN3413DDFR,3,TCAN3413DDFR,
U14,TPS25947xx,1,TPS259472,C3662789
U15,LGA-12_2x2mm_P0.5mm,1,LSM303AGR,
U17,LMR51460,1,LMR51460,C41802645
U18,TPSM33606S3QRDNRQ1,1,TPSM33610S3QRDNRQ1,
"U19, U20",SOT-23-5,2,INA180A3,C122882
U2,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
U21,LSM6DSV32XTR,1,LSM6DSV32XTR,
U22,EMIF06MSD02N16,1,EMIF06-MSD02N16,C5267594
"U23, U3",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,2,TVS3300DRV,C2863624
U24,TPS22975DSGR,1,TPS22975DSGR,
"U4, U5",LM749x0,2,LM749x0,
U7,SOT-23-6,1,USBLC6-2SC6,C7519
U8,MX25L25645GM2I-08G,1,MX25L25645GM2I-08G,
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-4.000MHZ-L-C-T,C437121
