Designator,Mid X,Mid Y,Rotation,Layer
C1,146.5072,-96.5962,90,bottom
C10,165.7784,-103.9204,90,bottom
C11,150.0886,-107.7468,180,bottom
C12,167.259,-103.1392,90,bottom
C13,145.4076,-94.615,270,bottom
C14,146.4818,-92.5322,90,bottom
C15,143.1422,-105.444,90,bottom
C16,171.7802,-102.1588,180,bottom
C17,160.4264,-117.2464,0,bottom
C18,160.429,-115.7224,0,bottom
C19,171.0436,-75.4634,180,top
C2,163.4744,-89.9948,90,bottom
C20,171.1667,-92.8378,180,top
C21,170.57465,-77.889367,180,top
C22,170.61425,-95.276067,180,top
C23,173.4058,-75.5704,90,top
C24,173.32625,-92.9158,90,top
C25,174.42965,-69.7484,180,top
C26,174.42965,-87.1324,180,top
C27,174.441167,-75.5704,270,top
C28,176.5119,-75.5704,270,top
C29,174.368767,-92.9158,270,top
C3,146.4818,-94.615,270,bottom
C30,176.4538,-92.9158,270,top
C31,178.03645,-76.2254,90,top
C32,178.03645,-93.6348,90,top
C33,172.73365,-82.9564,270,top
C34,172.77325,-100.3658,270,top
C35,167.2082,-77.0636,0,top
C36,167.3098,-94.4626,0,top
C37,188.1886,-101.3968,90,bottom
C38,176.149,-64.643,180,top
C39,191.5,-64.25,0,top
C4,165.7784,-102.0318,270,bottom
C40,185.9306,-98.7298,0,bottom
C41,175.895,-104.775,180,top
C42,191.5,-105.75,0,top
C43,124.46,-104.902,0,top
C44,108.5,-105.75,180,top
C45,124.333,-65.024,0,top
C46,108.5,-64.25,180,top
C47,136.4742,-110.295,180,top
C48,136.0444,-108.39,90,bottom
C49,153.4668,-69.4182,180,bottom
C5,145.5674,-102.1588,270,bottom
C50,151.4602,-69.4182,0,bottom
C51,118.11,-67.661,0,bottom
C52,122.809,-67.564,0,bottom
C53,127.495,-67.691,0,bottom
C54,132.509,-67.6715,0,bottom
C55,126.774,-85.041,90,bottom
C56,107.7722,-91.0082,270,bottom
C57,123.19,-87.327,180,bottom
C58,108.1786,-83.947,0,bottom
C59,108.1786,-85.979,0,bottom
C6,146.6596,-102.1588,270,bottom
C60,111.661,-82.829,0,top
C61,129.286,-99.2124,90,bottom
C62,127.254,-97.2286,180,bottom
C63,127.3302,-101.5746,0,bottom
C64,125.349,-99.1336,270,bottom
C65,143.51,-80.772,180,bottom
C66,143.694,-89.0525,180,bottom
C67,141.2748,-86.7918,270,bottom
C68,160.147,-66.297,180,top
C69,146.1723,-61.5696,270,top
C7,146.7104,-99.4664,270,bottom
C70,156.21,-62.855,270,top
C71,145.288,-65.659,90,top
C72,156.21,-60.455,0,top
C73,142.24,-59.7194,180,top
C74,164.03265,-62.23,270,top
C75,139.1412,-64.7446,270,bottom
C76,166.116,-62.23,270,top
C77,139.065,-61.5696,90,top
C78,135.763,-61.5696,90,top
C79,149.5251,-61.5696,270,top
C8,150.63215,-88.8214,0,bottom
C81,173.736,-61.976,90,bottom
C82,128.651,-61.5696,270,bottom
C83,119.7053,-97.0494,180,bottom
C84,121.7373,-97.0494,0,bottom
C85,118.11,-73.533,180,bottom
C86,122.809,-73.52,180,bottom
C87,127.521,-73.533,180,bottom
C88,132.522,-73.5135,180,bottom
C89,109.728,-91.0082,270,bottom
C9,164.5412,-89.9922,90,bottom
C90,109.093,-109.093,90,bottom
C91,111.661,-87.249,0,top
C92,157.607,-111.9124,90,bottom
C93,147.7518,-106.172,90,bottom
D1,130.9244,-109.3542,180,top
D10,179.4408,-111.4321,270,bottom
D11,119.507,-106.426,270,top
D12,119.38,-63.468,270,top
D13,117.475,-63.881,90,bottom
D14,117.475,-61.214,90,bottom
D15,122.174,-63.816,90,bottom
D16,122.174,-61.149,90,bottom
D17,116.84,-82.042,0,bottom
D18,112.141,-73.6346,270,bottom
D19,109.6772,-73.6346,270,bottom
D2,180.88125,-78.373,90,top
D20,155.6512,-56.6166,90,top
D21,132.969,-54.991,90,top
D22,168.4528,-54.102,270,top
D3,180.88125,-95.772,90,top
D4,177.96025,-82.931,0,top
D5,180.88125,-82.931,0,top
D6,177.96025,-100.33,0,top
D7,180.88125,-100.33,0,top
D8,180.721,-62.992,270,top
D9,180.467,-105.918,270,top
F1,187.96,-71.755,0,top
F2,187.96,-86.741,0,top
F3,176.149,-60.706,0,top
F4,175.895,-109.093,180,top
F5,124.333,-109.22,180,top
F6,124.333,-60.706,0,top
F7,140.7668,-110.3884,0,top
F8,109.7026,-78.3844,90,bottom
F9,112.141,-78.3844,90,bottom
FB1,145.3896,-92.5322,90,bottom
J10,105.975,-85,270,top
J11,149.6,-85,270,top
J12,124,-85,270,top
J2,161.643,-112.2794,180,top
