Designator,Mid X,Mid Y,Rotation,Layer
BZ1,86.614,-72.009,90.0,top
C1,110.744,-97.917,270.0,bottom
C10,112.268,-105.156,180.0,top
C11,94.107,-98.171,0.0,bottom
C12,94.107,-100.457,0.0,bottom
C13,115.697,-91.186,90.0,top
C14,94.107,-95.885,180.0,top
C15,94.107,-98.171,180.0,top
C16,94.107,-100.457,180.0,top
C17,99.441,-105.156,180.0,top
C18,94.107,-93.599,180.0,top
C19,94.107,-95.885,0.0,bottom
C2,117.729,-93.853,0.0,bottom
C20,99.695,-84.074,0.0,top
C21,108.966,-108.077,180.0,bottom
C22,109.5248,-76.581,270.0,top
C23,96.393,-108.077,0.0,bottom
C24,96.393,-114.3,0.0,bottom
C25,103.251,-91.44,180.0,bottom
C26,107.442,-91.44,0.0,bottom
C27,112.141,-122.301,270.0,top
C28,109.22,-122.301,270.0,top
C29,101.981,-125.095,0.0,top
C3,114.935,-73.533,180.0,top
C30,99.822,-113.03,90.0,bottom
C31,91.313,-112.776,90.0,top
C32,107.823,-129.286,90.0,top
C33,110.744,-129.286,90.0,top
C34,113.665,-129.286,90.0,top
C35,103.759,-109.855,180.0,top
C36,86.868,-82.423,180.0,top
C37,66.675,-86.614,0.0,top
C38,71.755,-95.504,270.0,top
C39,92.583,-105.41,180.0,bottom
C40,87.122,-103.505,270.0,top
C41,77.724,-116.586,270.0,top
C42,67.564,-101.346,0.0,top
C43,81.153,-111.379,180.0,top
C48,100.5586,-67.7926,180.0,bottom
C49,108.331,-113.03,90.0,top
C5,115.062,-67.31,180.0,top
C50,88.138,-109.22,0.0,top
C7,115.697,-86.995,270.0,top
C8,94.107,-91.313,180.0,top
C9,108.077,-105.156,180.0,top
D2,93.472,-83.058,180.0,top
D3,93.472,-85.852,180.0,top
D4,93.472,-88.646,180.0,top
D5,118.491,-108.204,0.0,bottom
F1,124.206,-112.014,90.0,bottom
FB1,94.107,-102.743,180.0,top
J1,122.695351,-80.518,90.0,top
J2,122.695351,-97.409,90.0,top
J3,62.23,-100.584,270.0,top
J4,118.6285,-115.57,90.0,top
J5,74.549,-78.4183,270.0,top
J6,114.046,-82.931,180.0,top
J7,106.807,-68.3835,180.0,top
L1,102.235,-131.826,90.0,top
R1,114.935,-79.883,180.0,top
R10,96.393,-111.379,0.0,bottom
R11,90.297,-119.126,0.0,top
R12,94.488,-119.126,0.0,top
R13,104.775,-104.648,0.0,bottom
R14,103.759,-105.156,0.0,top
R15,106.934,-113.03,270.0,bottom
R16,97.79,-113.03,90.0,top
R17,103.505,-111.379,0.0,bottom
R18,103.505,-113.665,180.0,bottom
R19,94.488,-114.427,0.0,top
R20,94.488,-111.125,180.0,top
R21,98.552,-125.73,90.0,top
R22,98.552,-121.666,90.0,top
R23,86.868,-88.392,0.0,bottom
R24,86.868,-91.567,0.0,bottom
R25,86.868,-85.725,180.0,top
R26,90.551,-78.105,90.0,bottom
R27,81.661,-76.581,0.0,bottom
R28,82.677,-82.423,0.0,top
R29,82.677,-85.725,180.0,top
R3,113.792,-76.708,90.0,top
R30,64.008,-97.028,270.0,bottom
R31,66.675,-88.265,180.0,bottom
R32,62.484,-86.614,180.0,top
R33,62.484,-83.312,0.0,top
R34,66.675,-83.312,0.0,top
R35,62.484,-88.265,0.0,bottom
R36,74.93,-76.327,0.0,bottom
R37,70.485,-76.327,0.0,bottom
R38,92.583,-105.41,0.0,top
R39,84.328,-103.505,90.0,top
R4,116.078,-76.708,270.0,top
R40,68.453,-104.267,0.0,bottom
R41,74.93,-104.267,180.0,bottom
R42,87.122,-99.187,270.0,top
R43,84.328,-99.187,90.0,top
R44,64.008,-112.395,270.0,bottom
R45,74.422,-108.077,180.0,top
R46,77.724,-112.268,270.0,top
R47,74.422,-112.268,270.0,top
R48,74.422,-116.586,270.0,top
R49,66.929,-108.077,180.0,top
R50,61.722,-110.998,90.0,bottom
R51,61.722,-116.586,90.0,bottom
R52,81.153,-107.95,180.0,top
R67,96.3676,-74.0156,0.0,bottom
R68,96.3676,-67.7926,180.0,bottom
R69,100.5586,-74.0156,0.0,bottom
R7,104.775,-108.077,0.0,bottom
R70,104.7496,-74.0156,0.0,bottom
R71,104.7496,-67.7926,0.0,bottom
R72,93.472,-83.058,180.0,bottom
R73,93.472,-85.852,180.0,bottom
R74,93.472,-88.646,180.0,bottom
R75,113.284,-113.03,270.0,top
R76,108.966,-116.205,0.0,top
R77,107.95,-109.728,180.0,top
R8,109.5248,-70.5612,90.0,top
R9,100.584,-108.077,180.0,bottom
U1,115.951,-98.044,90.0,bottom
U10,67.056,-83.058,0.0,bottom
U11,67.564,-96.012,0.0,top
U12,76.2,-101.854,0.0,top
U13,66.802,-114.427,0.0,top
U14,67.437,-104.013,0.0,top
U18,88.138,-112.776,270.0,top
U2,114.935,-70.485,180.0,top
U4,105.5116,-94.5896,270.0,top
U5,83.2725,-127.762,270.0,top
U6,105.664,-97.155,90.0,bottom
U7,101.981,-121.92,0.0,top
U8,103.378,-112.903,180.0,top
U9,83.058,-82.931,0.0,bottom
