Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C32, C33, C4, C7",0603,11,100n,
C10,0603,1,4.7u,
C17,0603,1,1u,
"C19, C20",0603,2,10p,
C2,0603,1,22u,
C21,0603,1,0.1u,
C31,0603,1,10u,
C49,0603,1,1uF,C49678
"C5, C6",0603,2,33u,
C50,0603,1,0.1uF,C49678
"C8, C9",0603,2,2.2u,
"D1, D2, D5",Nexperia_CFP3_SOD-123W,3,PMEG2010ER,
D3,1206,1,RED,
D4,1206,1,GREEN,
F1,1206,1,PTC 250mA,
"F2, F3",1206,2,PTC 550mA,
J2,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
J3,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Programmer,
J5,microSD_Molex_WM6698CT-ND,1,Micro_SD_Card,
J6,connector_Harwin_G125-MH104M4-04AD000P,1,G125-MH104M4-04AD000P,
L1,L_Bourns_SRP5030T,1,SRP5030T-3R3M,
R1,0603,1,30mR,
"R10, R11, R12, R13, R14",0603,5,47k,
R2,0603,1,40k,
R3,0603,1,10k,
R4,0603,1,33.2k 1%,
"R47, R48, R49",0603,3,10k,C17414
R5,0603,1,10k 1%,
"R8, R9",0603,2,100R,
U1,SOT-23-5_HandSoldering,1,INA180,
U2,SOT-23-6_Handsoldering,1,TPS562200,
U4,LQFP-100_14x14mm_P0.5mm,1,STM32H750VBTx,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,LTC2875-S8,
U8,SOIC-8_5.3x5.3mm_P1.27mm,1,MX25L25645GM2I-08G,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8G-32.000MHZ-B4Y-T,
