Designator,Mid X,Mid Y,Rotation,Layer
C1,146.6224,-99.017,0.0,top
C10,156.718,-92.202,0.0,bottom
C11,150.0886,-98.298,180.0,bottom
C12,146.5072,-92.964,180.0,bottom
C13,138.3538,-99.9998,90.0,bottom
C14,143.4338,-99.949,90.0,bottom
C15,164.8206,-99.2632,90.0,bottom
C16,163.576,-102.7176,90.0,top
C2,146.597,-105.113,0.0,top
C3,161.9758,-102.7176,90.0,top
C4,161.9758,-106.1466,270.0,top
C5,163.576,-106.1466,270.0,top
C6,166.1414,-94.5134,270.0,bottom
C8,159.9946,-95.631,270.0,bottom
C9,154.3304,-99.0092,0.0,bottom
D1,147.0152,-88.4682,90.0,bottom
D2,144.5006,-88.4682,90.0,bottom
D3,142.0114,-88.4682,90.0,bottom
D4,171.6532,-94.5388,270.0,bottom
H1,137.25,-112.75,0.0,top
H2,162.75,-87.25,0.0,top
H3,162.75,-112.75,0.0,top
H4,137.25,-87.25,0.0,top
J1,147.066,-103.6229,180.0,bottom
J2,168.2875,-100.0,90.0,top
J3,141.8336,-111.2062,0.0,bottom
J4,141.6558,-100.0,270.0,top
R1,146.7358,-92.7354,0.0,top
R11,146.33,-111.16,270.0,top
R13,149.43,-111.16,270.0,top
R14,147.88,-111.16,90.0,top
R2,146.7358,-94.2848,0.0,top
R3,146.7358,-95.8342,0.0,top
R4,146.74,-91.17,0.0,top
R5,163.2771,-92.8512,0.0,bottom
R6,163.2712,-99.2632,270.0,bottom
R7,157.9372,-95.631,90.0,bottom
R8,153.416,-92.202,0.0,bottom
R9,149.8854,-92.964,180.0,bottom
TP1,157.6742,-88.2994,0.0,bottom
U1,154.813882,-100.0,270.0,top
U2,163.2204,-106.6633,90.0,bottom
U3,163.2712,-95.6564,270.0,bottom
U4,154.3304,-95.631,90.0,bottom
U5,148.3868,-95.631,0.0,bottom
Y1,146.6088,-102.0826,270.0,top
