Designator,Mid X,Mid Y,Rotation,Layer
C1,165.75,-114.29,0.0,bottom
C10,176.85,-121.8,270.0,bottom
C11,148.07,-123.74,90.0,top
C12,155.95,-124.0375,270.0,top
C13,180.0325,-114.23,0.0,bottom
C14,138.4797,-120.4203,270.0,top
C2,152.6297,-111.3536,0.0,bottom
C3,138.4797,-121.7676,180.0,bottom
C4,137.725,-105.4625,90.0,bottom
C5,135.25,-112.29,0.0,top
C6,146.65,-114.1,180.0,bottom
C7,165.75,-116.09,0.0,bottom
C8,165.75,-112.59,0.0,bottom
C9,173.285,-121.38,270.0,bottom
D1,164.1,-120.7,0.0,top
D2,164.0925,-127.01,180.0,top
D3,164.0925,-123.62,180.0,top
D4,145.575,-116.3,180.0,bottom
F1,150.5,-107.925,0.0,bottom
J1,141.25,-114.23,270.0,bottom
J2,152.585,-105.8025,180.0,top
J3,173.1772,-102.362,180.0,top
L1,175.125,-122.725,270.0,top
L2,176.85,-121.8,270.0,top
R1,168.525,-120.75,180.0,top
R4,144.3,-119.325,0.0,bottom
R7,164.5,-127.0,0.0,bottom
R8,164.44,-123.62,0.0,bottom
R9,146.39,-107.99,180.0,bottom
TP3,141.16,-126.39,180.0,top
TP4,141.25,-122.75,180.0,top
U1,173.25,-114.224,0.0,top
U2,149.4,-114.125,0.0,top
U3,134.6275,-116.31,270.0,top
U4,135.0,-109.5175,0.0,top
U5,146.45,-111.35,180.0,bottom
Y1,151.827499,-123.8,180.0,top
