Designator,Footprint,Quantity,Value,LCSC Part #
3V3,TestPoint_Pad_D2.0mm,1,TestPoint,
"C1, C2, C22",0603,3,10u,
"C10, C11",0603,2,2.2u,
"C12, C13, C15, C16, C17, C18, C19, C26, C3, C5, C9",0603,11,100n,
C14,0603,1,1n,
C20,0603,1,0.01uF,
C21,0603,1,4.7u,
"C23, C24, C25, C4",0603,4,0.1u,
"C6, C7, C8",0603,3,22u,
D1,D_SOD-128,1,PMEG3030EP,
D2,1206,1,WHITE,
D3,1206,1,BLUE,
"D4, D6",1206,2,GREEN,
"D5, D7",D_SOD-123,2,CDBW140-G,
F1,FUSE_0154005.DR,1,0154005.DRL,
FB1,0603,1,PE-0603PFB121ST,
GND,TestPoint_Keystone_5000-5004_Miniature,1,TestPoint,
J1,connector_Harwin_G125-MH104M4-04AD000P,1,G125-MH104M4-04AD000P,
J2,4DB-P108-02,1,4DB-P108-02,
J3,PinSocket_2x07_P1.27mm_Vertical_SMD,1,CN4 STDC14 (Programmer),
J4,microSD_HC_Molex_47219-2001,1,Micro SD Holder 0472192001,
"J5, J6, J7, J8",connector_Harwin_G125–MG10605M4P,4,Conn_01x06_Socket,
L1,IND_SPM6530T-2R2M,1,SPM6530T-2R2M,
"Q1, Q2",SOT_12UW-7_DIO,2,DMG1012UW-7,
R1,0603,1,33.2k,
"R10, R11, R7, R8, R9",0603,5,51k,
"R12, R13, R14",0603,3,150R ±0.1%,
"R15, R17, R19",0603,3,82K,
"R16, R18, R20",0603,3,130K,
R2,0603,1,10k,
"R21, R22",0603,2,150k,
"R23, R24",0603,2,100R,
"R25, R26",0603,2,649R,
R27,0603,1,120R,
R3,0603,1,300K,
R4,0603,1,100K,
"R5, R6",0603,2,169R,
TC+,TestPoint_Pad_D2.0mm,1,TC1+,
U1,SOT-23-6_Handsoldering,1,TPS565201DDC,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN334,
U3,LQFP-100_14x14mm_P0.5mm,1,STM32H750VBTx,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,MX25L25645G,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX6675,
Y1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-4.000MHz-L-C-T,
