Designator,Mid X,Mid Y,Rotation,Layer
C1,152.06,-105.299035,0.0,bottom
C2,159.06,-107.299035,90.0,bottom
C3,161.66,-115.499035,0.0,bottom
C4,138.06,-116.699035,0.0,bottom
C5,138.9761,-104.896835,90.0,bottom
C6,138.9761,-109.240235,270.0,bottom
D1,139.66,-95.899035,90.0,top
D2,136.879,-95.899035,90.0,top
D3,134.098,-95.899035,90.0,top
F1,145.66,-121.699035,180.0,bottom
F2,154.26,-121.699035,0.0,bottom
J1,150.06,-117.280386,0.0,top
J10,165.1,-85.497035,0.0,top
J2,130.0475,-104.699035,90.0,top
J3,130.99,-85.547035,0.0,top
J4,139.7,-85.547035,0.0,top
J5,170.052,-102.979035,270.0,top
J6,148.32,-85.497035,0.0,top
J7,170.057,-93.924035,270.0,top
J8,156.845,-85.547035,0.0,top
J9,170.051366,-112.339035,270.0,top
R1,139.7,-83.147035,0.0,bottom
R10,130.99,-81.097035,180.0,bottom
R11,172.752,-103.179035,270.0,bottom
R12,174.752,-103.179035,90.0,bottom
R13,148.32,-83.047035,0.0,bottom
R14,148.32,-81.047035,180.0,bottom
R15,156.841653,-83.152419,0.0,bottom
R16,156.845,-81.147035,180.0,bottom
R17,172.557,-94.824035,270.0,bottom
R18,174.657,-94.824035,90.0,bottom
R19,172.752,-112.339035,270.0,bottom
R2,139.7,-81.147035,180.0,bottom
R20,175.292,-112.339035,90.0,bottom
R21,165.106424,-83.200832,0.0,bottom
R22,165.1,-81.147035,180.0,bottom
R3,149.66,-97.499035,90.0,bottom
R4,139.66,-95.899035,270.0,bottom
R5,136.879,-95.899035,270.0,bottom
R6,138.06,-122.499035,180.0,bottom
R7,161.66,-121.299035,180.0,bottom
R8,134.098,-95.899035,270.0,bottom
R9,130.99,-83.097035,0.0,bottom
TP1,126.06,-90.899035,0.0,top
TP10,156.845,-91.384035,0.0,top
TP13,163.83,-109.799035,180.0,top
TP14,163.195,-91.384035,0.0,top
TP4,121.46,-90.899035,0.0,top
TP5,163.83,-96.464035,0.0,top
TP6,130.81,-91.099035,0.0,top
TP7,141.224,-90.876035,0.0,top
TP8,163.83,-102.814035,90.0,top
TP9,147.955,-91.384035,0.0,top
U1,152.06,-110.099035,180.0,bottom
U2,151.955,-104.574035,270.0,top
U3,138.06,-119.499035,180.0,bottom
U4,161.66,-118.299035,180.0,bottom
Y1,142.8242,-107.096635,270.0,bottom
