Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,27pF,
"C10, C11",0603,2,22u,
C12,0603,1,10uF,
"C13, C3, C4, C5",0603,4,0.1u,
C14,0603,1,10nF,
C15,0603,1,2.2uF,
"C6, C7",0603,2,10u,
"C8, C9",0603,2,100n,
"D1, D2, D3",1206,3,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,PinSocket_5x2.54_SMD_90deg_952-3198-1-ND,1,Programming Header,
J2,connector_Harwin_G125-MH104M4-04AD000P,1,G125-MH104M4-04AD000P,
J3,PinSocket_2x08_P2.54mm_Horizontal,1,RFD900x,
L1,WE-XHMI_4040,1,74439325056,
Q1,SOT-23_Handsoldering,1,PJA3405,
Q2,SOT-23_Handsoldering,1,TSM2306CX,
"R1, R2, R3, R7",0603,4,130,
R10,0603,1,52.3k,
"R11, R4, R6, R8",0603,4,10k,
R12,0603,1,0.03R,
R5,0603,1,DNI,
R9,0603,1,30R,
U1,SOIC-28W_7.5x18.7mm_P1.27mm,1,PIC18F26K83,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562,
U3,SOT-23-6,1,TPS56339DDC,
U4,SOT-23-5_HandSoldering,1,INA180A3,
U5,SOT-23-5,1,SPX3819M5-L-3-3/TR,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8G-12.000MHZ-18-D2Y-T,
