Designator,Mid X,Mid Y,Rotation,Layer
C1,163.1188,-123.3678,0.0,top
C10,151.4348,-92.2528,180.0,top
C11,151.4348,-89.7128,180.0,top
C12,151.6888,-108.7628,180.0,top
C13,156.2608,-98.4758,270.0,top
C14,154.9908,-106.2228,270.0,top
C15,151.9538,-103.0508,0.0,top
C2,163.1188,-117.0178,0.0,top
C3,145.9738,-121.9708,90.0,top
C4,148.8948,-108.2548,270.0,bottom
C5,157.0228,-108.6358,90.0,bottom
C6,158.0388,-79.6798,90.0,top
C7,156.1338,-79.6798,90.0,top
C8,154.2288,-79.6798,90.0,top
C9,148.5138,-83.3628,270.0,top
D1,112.1918,-121.0818,0.0,top
D2,117.9068,-121.0818,0.0,top
D3,117.9068,-124.1298,0.0,top
J1,147.3708,-123.5873,180.0,bottom
J2,160.8993,-95.9358,90.0,top
J3,131.7348,-130.6438,270.0,top
L1,152.4508,-85.5218,0.0,top
Q1,128.9558,-122.7328,180.0,bottom
Q2,137.5918,-122.4788,270.0,bottom
R1,112.1918,-121.0818,180.0,bottom
R10,155.7782,-74.9808,180.0,top
R11,149.5298,-74.9808,180.0,top
R12,150.1648,-98.4758,90.0,top
R2,117.9068,-121.0818,180.0,bottom
R3,117.9068,-124.1298,180.0,bottom
R4,160.1978,-132.5118,270.0,bottom
R5,128.9558,-125.7808,180.0,bottom
R6,133.4008,-122.7328,90.0,bottom
R7,142.2908,-120.4468,180.0,bottom
R8,142.2908,-122.4788,0.0,bottom
R9,148.5138,-79.5528,270.0,top
U1,153.4668,-124.2568,90.0,top
U2,152.8318,-108.6358,0.0,bottom
U3,151.5618,-80.0608,270.0,top
U4,153.2128,-98.4758,90.0,top
U5,151.8158,-106.2228,180.0,top
Y1,163.1188,-120.1928,90.0,top
