Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10 uF,
"C10, C5",0402,2,0.1uF,
"C11, C35, C38, C49",0402,4,100pF,
"C12, C14, C15, C16, C19, C23, C26, C28, C30, C33, C9",0402,11,47nF,
C13,0402,1,20pF,
"C17, C7",0402,2,120pF,
C2,0805,1,0.1 uF,
C20,0402,1,5.2pF,
"C21, C50",0402,2,10nF,
C24,0402,1,220nF,
"C3, C4",0805,2,27 pF,
"C31, C32",0402,2,3.3pF,
"C36, C37",0402,2,DNM,
"C39, C40",0402,2,15pF,
C41,0805,1,0.1uF,
C42,0805,1,10uF,
C43,0805,1,100nF,
"C44, C45",0603,2,22uF,
C46,0805,1,1 uF,
C47,0805,1,10 nF,
C48,0805,1,2.2 uF,
C51,0402,1,33pF,
C6,0402,1,1.5nF,
C8,0402,1,12pF,
D1,1206,1,LED_GREEN,
D2,1206,1,LED_BLUE,
D3,1206,1,LED_RED,
F1,1206,1,Polyfuse 1A,
J1,PinSocket_5x2.54_SMD_90deg_952-3198-1-ND,1,Programming Header,
"J2, J3",TAOGLAS_EMPCB.SMAFSTJ.B.HT,2,Conn_Coaxial,
J4,connector_Harwin_M80-5000642,1,CAN connector,
L1,0402,1,24nH,
L10,IND_BOURNS_SRN8040,1,4.7uH,
L11,0402,1,10nH,
L4,0402,1,9nH,
L5,0402,1,15nH,
"L6, L7, L8",0402,3,12nH,
"R1, R14",0805,2,10K,
R12,0805,1,25mR,
R13,0805,1,56.2K,
R15,0402,1,10,
"R2, R3, R4",0805,3,330R,
R5,0402,1,0R,
R6,0402,1,6.8K,
R7,0402,1,56K,
R8,0402,1,3.3K,
RX_TP1,U.FL_Molex_MCRF_73412-0110_Vertical,1,RX,
TP1,TestPoint_Pad_D3.0mm,1,TP_5V,
TP2,TestPoint_Pad_D3.0mm,1,TP_3V3,
TX_TP1,U.FL_Molex_MCRF_73412-0110_Vertical,1,TX,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562,
U2,SOIC-28W_7.5x17.9mm_P1.27mm,1,PIC18F26K83,
U3,QFN50P300X300X85-17N,1,GRF5509,
U4,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,CC1200,
"U5, U6",DFN6_1P5X1P5-0P5_PSM,2,PE42424,
U7,SOT-23-5_HandSoldering,1,INA180,
U8,SOT-23-6,1,TPS562200,
U9,SOT-23-5,1,SPX3819M5-L-3-3,
Y1,Resonator-2Pin_W10.0mm_H5.0mm,1,Crystal,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,40MHz,
