Designator,Mid X,Mid Y,Rotation,Layer
_2,138.35,-84.92,0.0,top
,135.74,-84.91,0.0,top
C1,164.315,-107.2,0.0,bottom
C10,129.5,-98.5,90.0,top
C11,130.6325,-98.5,90.0,top
C12,131.7175,-118.94,0.0,top
C13,137.3,-92.8,45.0,top
C14,117.2,-119.5,180.0,top
C15,131.45,-117.54,0.0,top
C16,120.2,-115.1,180.0,top
C17,136.308867,-94.785822,315.0,top
C18,135.477817,-95.622182,315.0,top
C19,130.75,-114.84,0.0,top
C2,154.3,-118.6,0.0,bottom
C20,133.0,-106.6,90.0,top
C21,124.1,-111.1,90.0,top
C23,119.9825,-118.15,180.0,top
C24,127.57875,-122.66125,270.0,top
C26,120.15,-113.79,180.0,top
C27,131.706102,-109.534458,225.0,top
C28,120.211763,-116.646079,180.0,top
C29,137.079999,-86.7,90.0,top
C3,152.03,-96.27,0.0,bottom
C30,123.0,-111.15,90.0,top
C31,126.85,-108.3675,90.0,top
C32,124.45,-108.3675,90.0,top
C33,123.87875,-122.62875,270.0,top
C34,123.75,-102.1825,90.0,top
C35,126.2,-86.4,180.0,bottom
C39,120.02,-126.6125,180.0,top
C4,156.63,-96.27,180.0,bottom
C40,116.27,-122.7125,270.0,top
C41,159.215,-119.1425,180.0,bottom
C42,152.6,-130.4,270.0,bottom
C43,159.8,-133.8,180.0,bottom
C44,152.7375,-137.4,180.0,bottom
C45,152.7375,-134.8,180.0,bottom
C46,136.2,-134.0,90.0,bottom
C47,128.2,-139.2,270.0,bottom
C48,128.2,-133.3625,90.0,bottom
C49,134.324371,-114.655293,315.0,top
C5,127.1,-103.0,270.0,top
C50,135.102188,-113.877476,315.0,top
C51,133.405132,-112.180419,135.0,top
C6,121.9,-112.65,270.0,top
C7,124.122388,-105.170916,225.0,top
C9,125.85,-122.27875,270.0,top
D1,164.775,-103.05,0.0,top
D2,164.78,-100.25,0.0,top
D3,164.78,-96.86,0.0,top
F1,164.2,-126.585,180.0,bottom
J1,163.0125,-98.2,90.0,bottom
J2,144.825,-78.15,90.0,top
J3,129.325,-78.15,90.0,top
J4,169.1625,-118.9,90.0,top
L1,132.4325,-99.1,0.0,top
L10,143.2,-133.2,270.0,bottom
L11,130.859548,-111.19047,135.0,top
L2,130.9,-107.9,135.0,top
L3,127.1,-100.6,270.0,top
L4,129.183705,-112.02132,45.0,top
L5,126.25,-110.0825,180.0,top
L6,128.05,-108.3675,90.0,top
L7,125.65,-108.3675,90.0,top
L8,125.8,-106.0,135.0,top
R1,159.0,-93.0,180.0,bottom
R10,137.067499,-81.55,0.0,top
R11,140.7,-114.8,90.0,bottom
R12,159.2,-126.5425,180.0,bottom
R13,165.0,-137.2,90.0,bottom
R14,162.2,-137.2,270.0,bottom
R15,132.627315,-112.958237,135.0,top
R16,139.4,-114.8,270.0,bottom
R2,169.7125,-103.2,0.0,top
R3,170.0775,-100.25,0.0,top
R4,170.0775,-96.44,0.0,top
R5,122.75,-121.9875,90.0,top
R6,128.7,-104.5,90.0,top
R7,131.45,-116.34,180.0,top
R8,130.5,-105.9,0.0,top
R9,128.8,-102.4,180.0,top
TP7,120.5,-106.3,90.0,top
TP8,139.0,-97.4,225.0,top
U1,164.315,-112.15,180.0,bottom
U10,137.039999,-84.155,0.0,top
U2,151.725,-110.62,180.0,bottom
U3,132.25,-103.1,90.0,top
U4,125.75,-117.3375,180.0,top
U5,137.1,-89.7,90.0,top
U6,122.0,-86.4,0.0,bottom
U7,159.215,-122.7425,180.0,bottom
U8,157.0625,-130.6,0.0,bottom
U9,131.955,-137.01,180.0,bottom
Y1,154.26,-100.67,180.0,bottom
Y2,119.42,-122.9125,270.0,top
