Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.354000,-95.235000,0.000000,top
"C2","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.490500,-86.868000,0.000000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.336000,-77.455000,180.000000,top
"C4","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.843000,-77.455000,90.000000,top
"C5","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.840655,-108.512155,180.000000,top
"C6","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.462000,-108.824000,90.000000,top
"C7","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.796000,-94.092000,0.000000,top
"C8","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.872655,-94.161155,180.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.228000,-101.346000,0.000000,top
"C10","4.7 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.872655,-102.289155,180.000000,top
"C11","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.872655,-100.257155,180.000000,top
"C12","1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.872655,-98.225155,180.000000,top
"C13","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.872655,-96.193155,180.000000,top
"C14","1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.878000,-106.426000,180.000000,top
"C15","0.1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.878000,-104.359155,180.000000,top
"C16","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.223200,-105.054400,180.000000,top
"C18","2.2 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.494000,-108.824000,-90.000000,top
"C19","2.2 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.669000,-96.759000,180.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.684000,-103.130500,-90.000000,top
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.716000,-103.109000,-90.000000,top
"D1","LED_R","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.544512,-103.482288,90.000000,top
"D2","LED_G","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",140.920000,-103.474000,90.000000,top
"D3","LED_B","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",143.333000,-103.474000,90.000000,top
"D4","PWR","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",132.968000,-100.405500,90.000000,top
"F1","Polyfuse 1A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",165.354000,-78.232000,0.000000,top
"FB1","PE-0603PFB121ST","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",171.450000,-103.124000,0.000000,top
"G***","LOGO","Logo_SilkScreen_10mm",138.683000,-91.241000,0.000000,top
"J1","RocketCAN","connector_Harwin_G125–MG10605M4P",171.869000,-80.533000,90.000000,top
"J2","RESET","PinHeader_1x02_P1.00mm_Vertical",173.228000,-99.060000,90.000000,top
"J4","Movella","connector_Harwin_G125–MG10605M4P",138.923650,-78.872000,-90.000000,top
"J5","Pololu","connector_Harwin_G125–MG10605M4P",155.619000,-70.033000,180.000000,top
"L1","1uH","IND_DFE252012PD-1R0M=P2_MUR",152.018000,-78.471000,180.000000,top
"R1","33 mR","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",161.670000,-80.772000,0.000000,top
"R2","453k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.431000,-82.408000,0.000000,top
"R3","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.479000,-81.392000,90.000000,top
"R4","150R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.222000,-95.817500,-90.000000,top
"R5","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.634000,-98.922500,-90.000000,top
"R6","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.842000,-98.918000,-90.000000,top
"R7","10kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.829000,-96.940000,-90.000000,top
"R8","150R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.333000,-98.922500,-90.000000,top
"R9","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.876000,-96.886000,-90.000000,top
"R10","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.844000,-97.648000,-90.000000,top
"R11","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.780000,-105.014000,-90.000000,top
"R12","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.875000,-104.633000,-90.000000,top
