Designator,Mid X,Mid Y,Rotation,Layer
C1,173.354,-95.235,0.0,top
C10,166.872655,-102.289155,180.0,top
C11,166.872655,-100.257155,180.0,top
C12,166.872655,-98.225155,180.0,top
C13,166.872655,-96.193155,180.0,top
C14,166.878,-106.426,180.0,top
C15,166.878,-104.359155,180.0,top
C16,160.2232,-105.0544,180.0,top
C17,175.006,-101.854,270.0,bottom
C18,150.494,-108.824,270.0,top
C19,153.669,-96.759,180.0,top
C2,159.4905,-86.868,0.0,top
C20,146.684,-103.1305,270.0,top
C21,148.716,-103.109,270.0,top
C22,144.525,-104.633,180.0,bottom
C3,156.336,-77.455,180.0,top
C4,148.843,-77.455,90.0,top
C5,164.840655,-108.512155,180.0,top
C6,148.462,-108.824,90.0,top
C7,153.796,-94.092,0.0,top
C8,166.872655,-94.161155,180.0,top
C9,173.228,-101.346,0.0,top
D1,138.544512,-103.482288,90.0,top
D2,140.92,-103.474,90.0,top
D3,143.333,-103.474,90.0,top
D4,132.968,-100.4055,90.0,top
F1,165.354,-78.232,0.0,top
FB1,171.45,-103.124,0.0,top
J1,171.869,-80.533,90.0,top
J2,173.728,-99.06,90.0,top
J3,159.004,-84.328,90.0,bottom
J4,138.92365,-78.872,270.0,top
J5,155.619,-70.033,180.0,top
J6,134.6,-101.576,90.0,bottom
L1,152.018,-78.471,180.0,top
R1,161.67,-80.772,0.0,top
R11,152.78,-105.014,270.0,top
R13,167.639,-70.6,270.0,bottom
R15,164.845,-70.6,270.0,bottom
R17,150.348,-91.4,90.0,bottom
R18,148.316,-94.734,90.0,bottom
R19,153.035,-87.249,270.0,bottom
R2,154.431,-82.408,0.0,top
R20,148.589,-102.474,270.0,bottom
R21,150.348,-98.258,270.0,bottom
R3,157.479,-81.392,90.0,top
R4,133.222,-95.8175,270.0,top
R5,138.634,-98.9225,270.0,top
R6,140.842,-98.918,270.0,top
R7,163.829,-96.94,270.0,top
R8,143.333,-98.9225,270.0,top
R9,158.876,-96.886,270.0,top
TP10,144.144,-66.476,0.0,top
TP11,143.255,-79.36,0.0,top
TP12,143.255,-76.058,0.0,top
TP3,143.128,-111.053,90.0,top
TP5,149.859,-81.646,0.0,top
TP6,144.144,-69.962,0.0,top
TP7,139.699,-111.053,90.0,top
U1,172.974,-94.488,0.0,bottom
U2,161.318,-84.008,0.0,top
U3,155.341999,-79.994997,180.0,top
U4,160.254,-100.814,270.0,bottom
U5,154.941,-101.327,270.0,top
X1,172.212,-101.854,270.0,bottom
