Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10 uF,
C10,0805,1,4.7 uF,
"C11, C13, C15, C2, C5, C6, C7, C8",0805,8,0.1 uF,
"C12, C14",0805,2,1 uF,
C16,0805,1,1uF,
C17,0805,1,0.01uF,
"C18, C19",0805,2,2.2 uF,
"C20, C21",0805,2,100nF,
"C22, C3",0805,2,4.7uF,
C4,0805,1,22uF,
C9,0805,1,0.1uF,
D1,1206,1,LED_R,C7496845
D2,1206,1,LED_G,
D3,1206,1,LED_B,
D4,1206,1,PWR,
F1,1206,1,Polyfuse 1A,
FB1,0603,1,PE-0603PFB121ST,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,connector_Harwin_G125–MG10605M4P,1,RocketCAN,
J2,PinHeader_1x02_P1.00mm_Vertical,1,RESET,
J3,PinSocket_2x07_P1.27mm_Vertical_SMD,1,CN4 STDC14 (PROG),
J4,connector_Harwin_G125–MG10605M4P,1,Movella,
J5,connector_Harwin_G125–MG10605M4P,1,Pololu,
J6,microSD_Molex_WM6698CT-ND,1,Micro_SD_Card,
JP3,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,1,BOOT_CTL,
L1,IND_DFE252012PD-1R0M=P2_MUR,1,1uH,
R1,1206,1,33 mR,
"R10, R11, R12, R13, R14, R15, R16, R9",0805,8,10kΩ,
"R17, R18, R19, R20, R21, R7",0805,6,10kR,
R2,0805,1,453k,
R3,0805,1,100k,
"R4, R8",0805,2,150R,
"R5, R6",0805,2,330R,
TP1,TestPoint_Pad_1.5x1.5mm,1,CANL,
TP10,TestPoint_Keystone_5000-5004_Miniature,1,SDA,
TP11,TestPoint_Keystone_5000-5004_Miniature,1,Tx,
TP12,TestPoint_Keystone_5000-5004_Miniature,1,Rx,
TP2,TestPoint_Pad_1.5x1.5mm,1,CANH,
TP3,TestPoint_Keystone_5000-5004_Miniature,1,TP_5V,
TP4,TestPoint_Pad_1.5x1.5mm,1,CURRAMP,
TP5,TestPoint_Keystone_5000-5004_Miniature,1,3v3,
TP6,TestPoint_Keystone_5000-5004_Miniature,1,SCL,
TP7,TestPoint_Keystone_5000-5004_Miniature,1,TP_GND,
TP8,TestPoint_Pad_D1.5mm,1,SDA,
TP9,TestPoint_Pad_D1.5mm,1,SCL,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562,
U2,SOT-23-5_HandSoldering,1,INA180,
U3,DRL0006A,1,TLV62568ADRLR,
U4,LQFP-100_14x14mm_P0.5mm,1,STM32H733VGTx,
U5,LGA-14L_2p5X3p0X0p86_STM,1,LSM6DSV32X,
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-4.000MHZ-L-C-T,
