"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","1","PIC18F26K83-I/SS-ND","PIC18F26K83-I/SS","FLASH","U1","1","0","3.19000","3.19"
"2","1","AP1509-50SGDICT-ND","AP1509-50SG-13","IC REG BUCK 5V 2A 8SOIC","U5","1","0","2.01000","2.01"
"3","2","296-46630-1-ND","INA180A4IDBVT","IC AMP CUR SENSE 350KHZ SOT23-5","U3,U6","2","0","0.88000","1.76"
"4","1","AP2114H-3.3TRG1DICT-ND","AP2114H-3.3TRG1","IC REG LINEAR 3.3V 1A SOT223","U4","1","0","0.54000","0.54"
"5","3","DMN3023L-7DICT-ND","DMN3023L-7","MOSFET N-CH 30V 6.2A SOT23","Q2,Q4,Q5","3","0","0.66000","1.98"
"6","1","MCP2562T-E/SNCT-ND","MCP2562T-E/SN","IC TXRX CAN 8SOIC","U2","1","0","1.39000","1.39"
"7","1","296-21928-1-ND","TXB0104DR","IC TRNSLTR BIDIRECTIONAL 14SOIC","U7","1","0","1.97000","1.97"
"8","3","732-5031-1-ND","156120RS75300","LED RED CLEAR 1206 SMD","D1,D2,D3","3","0","0.25000","0.75"
"9","1","887-1238-ND","9B-12.000MEEJ-B","CRYSTAL 12.0000MHZ 18PF T/H","Y1","1","0","0.72000","0.72"
"10","1","952-1016-5-ND","M80-5300642","CONN HDR 2MM R/A W/SCREW 6POS","J3","1","0","16.04000","16.04"
"11","1","36-3557-15-ND","3557-15","FUSE HOLDER BLADE 30A PCB","F1","1","0","1.36000","1.36"
"12","1","S5441-ND","PPTC051LGBN-RC","CONN FEMALE 5POS .100"" R/A TIN","J1","1","0","0.90000","0.90"
"13","1","ED2945-ND","OSTYK42102030","CONN BARRIER STRIP 2CIRC 0.325""","J2","1","0","1.16000","1.16"
"14","1","952-2911-ND","M80-5000622","CONN HDR 2MM VERT W/SCREW 6POS","J3","1","0","12.04000","12.04"
"15","1","SI2347DS-T1-GE3CT-ND","SI2347DS-T1-GE3","MOSFET P-CH 30V 5A SOT-23","Q1,Q3","1","0","0.78000","0.78"
"16","1","RLB0913-470K-ND","RLB0913-470K","FIXED IND 47UH 2.35A 160 MOHM TH","L1","1","0","0.91000","0.91"
