Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,CMI-1295-0585T,
BZ2,Buzzer_12x9.5RM7.6,1,CMI-1295-1285T,
BZ3,Buzzer_12x9.5RM7.6,1,WST-1212BX,
C1,0603,1,10uF,
"C2, C3",0603,2,27pF,
C4,0603,1,0.1u,
"C5, C7, C8, C9",0603,4,0.1uF,
C6,0603,1,0.33uF,
"D1, D4",D_SOD-323_HandSoldering,2,CUS08F30,
"D2, D3",SM74611,2,SM74611,
"DB1, DR1, DW1",1206,3,LED,
F1,CUSTOM_Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,1,Polyfuse 4A,
F2,1206,1,Polyfuse 350mA,
J1,PinHeader_5x2.54_SMD_90deg_952-3198-1-ND,1,Conn_01x05_Female,
J2,BarrierBlock_ED2945-ND,1,Battery 1,
J3,BarrierBlock_ED2945-ND,1,Battery 2,
J4,connector_Harwin_G125-MH104M4-04AD000P,1,CAN connector,
J5,connector_Harwin_G125–MG10605M4P,1,A1 Input,
J6,connector_Harwin_G125–MG10605M4P,1,A2 Inputs,
J7,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,SL Data Connector,
J8,connector_Harwin_G125–MG10605M4P,1,A1 Connections,
J9,connector_Harwin_G125–MG10605M4P,1,A2 Connections,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,M1 Pull Up,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,D1 Pull Up,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,M2 Pull Up,
JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,D2 Pull Up,
"Q1, Q6",SOT-23_Handsoldering,2,BSS138,
"Q2, Q3",SOT-23_Handsoldering,2,DMG2302UK,
"Q4, Q5",TO-252-2,2,AOD417,
"R1, R12, R13, R27, R29, R31, R32, R33, R34, R5, R7, R9",0603,12,10K,
"R10, R11, R25, R26, R28, R30, R6, R8",0603,8,27K,
"R14, R15",1206,2,4mR,
R16,1206,1,200mR,
"R17, R18",0603,2,270R,
"R19, R21",0603,2,5k,
"R2, R3, R4",0603,3,330R,
"R20, R22",0603,2,2k,
"R23, R24",0603,2,15k,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562,
U2,SOIC-28W_7.5x18.7mm_P1.27mm,1,PIC18F26K83,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TL750L05CD or LM2931AMX-5.0/NOPB,
"U4, U5",Mag Switch,2,Mag Switch,
"U6, U7, U8",SOT-23-5_HandSoldering,3,INA180,
Y1,Crystal_HC49-4H_Vertical,1,Crystal,
