Designator,Mid X,Mid Y,Rotation,Layer
BZ1,147.0,-99.25,270.0,top
BZ2,160.02,-100.457,270.0,top
C1,132.75,-92.025,180.0,bottom
C10,124.2,-98.6,180.0,top
C11,141.75,-103.75,270.0,bottom
C2,131.885,-103.275,0.0,bottom
C3,136.1,-99.6,90.0,bottom
C4,138.8,-95.25,90.0,bottom
C5,119.0,-99.25,90.0,bottom
C6,119.0,-95.0,270.0,bottom
C7,123.179,-85.0,90.0,top
C8,154.742,-95.4055,0.0,bottom
C9,124.1,-91.313,0.0,top
D1,150.75,-102.5,270.0,bottom
D2,113.0,-105.5,0.0,bottom
DB1,163.957,-87.376,0.0,top
DR1,163.957,-83.058,0.0,top
DW1,163.957,-91.821,0.0,top
F1,113.6,-102.25,180.0,bottom
F2,147.0,-105.75,0.0,bottom
J1,155.9125,-92.58,90.0,bottom
J2,115.375,-111.2,0.0,top
J3,140.525,-108.3875,0.0,top
J4,127.75,-80.0,180.0,top
J5,112.943,-80.5105,0.0,top
J6,144.75,-80.0,180.0,top
Q1,142.75,-98.25,90.0,bottom
Q2,113.411,-75.819,0.0,bottom
Q3,149.5,-92.0,0.0,bottom
Q4,146.344,-87.5475,180.0,top
R1,129.0,-85.5,180.0,bottom
R10,120.146,-86.008,270.0,bottom
R11,155.25,-103.576,180.0,bottom
R12,143.25,-93.0,0.0,bottom
R13,143.25,-90.0,0.0,bottom
R14,148.5,-87.5,270.0,bottom
R15,150.25,-98.75,0.0,bottom
R16,151.25,-87.5,270.0,bottom
R17,138.75,-86.5,90.0,bottom
R18,143.25,-87.0,0.0,bottom
R19,136.0,-85.75,270.0,bottom
R2,158.496,-82.931,180.0,top
R20,138.5,-90.5,0.0,bottom
R21,108.839,-75.819,90.0,bottom
R22,124.5,-102.5,180.0,bottom
R3,158.5,-87.376,180.0,top
R4,158.5,-91.75,180.0,top
R5,136.0,-95.0,270.0,bottom
R6,121.5,-88.5,0.0,top
R7,133.75,-89.0,180.0,bottom
R8,129.0,-88.25,0.0,bottom
R9,133.25,-85.75,90.0,bottom
U1,131.885,-97.525,180.0,bottom
U2,133.985,-92.837,270.0,top
U3,109.3375,-90.302,270.0,top
U4,112.35,-97.0,0.0,bottom
U5,124.25,-86.0,270.0,bottom
U6,155.25,-98.75,180.0,bottom
Y1,124.206,-94.869,90.0,top
