Designator,Mid X,Mid Y,Rotation,Layer
C1,227.4062,-54.864,180.0,bottom
C10,208.9404,-63.2206,180.0,bottom
C11,219.2782,-69.4164,0.0,bottom
C12,220.2942,-72.009,0.0,top
C13,218.4259,-88.1632,0.0,bottom
C14,218.4259,-86.5632,0.0,bottom
C15,207.3402,-81.1276,180.0,top
C16,211.0,-91.6,180.0,bottom
C17,201.7268,-83.3628,270.0,bottom
C18,205.8924,-83.3374,270.0,bottom
C19,213.7676,-89.6112,180.0,bottom
C2,208.9658,-66.7766,0.0,bottom
C20,213.7664,-87.0712,180.0,bottom
C21,204.597,-92.71,0.0,bottom
C22,202.7936,-86.0298,0.0,top
C23,217.7034,-64.9085,180.0,bottom
C3,213.741,-53.3146,90.0,top
C4,207.645,-53.3146,270.0,top
C5,212.9028,-75.7936,180.0,top
C6,212.9028,-74.0918,0.0,bottom
C7,212.9028,-77.4192,0.0,bottom
C8,225.39375,-92.1375,0.0,bottom
C9,213.487,-64.9478,0.0,bottom
D1,222.5294,-55.5244,0.0,top
D2,222.5294,-50.0888,0.0,top
D3,222.5294,-52.7812,0.0,top
D4,221.6404,-81.5848,90.0,bottom
D5,220.2942,-77.851,180.0,top
D6,212.9028,-73.66,180.0,top
D7,207.4164,-83.2612,0.0,top
D8,202.6412,-83.1088,0.0,top
F1,216.4,-97.2,0.0,bottom
J1,220.3196,-59.1403,0.0,bottom
J2,226.3297,-75.4126,90.0,top
J3,215.773,-102.187899,180.0,top
L1,212.6742,-82.296,0.0,bottom
R10,222.885,-94.996,270.0,bottom
R11,220.2942,-74.0664,180.0,top
R12,220.2942,-72.4154,180.0,bottom
R13,220.2942,-74.0664,180.0,bottom
R14,220.2942,-75.7174,0.0,bottom
R15,212.9028,-75.7936,0.0,bottom
R16,208.9658,-71.755,0.0,bottom
R17,212.217,-68.6308,90.0,bottom
R18,220.2942,-75.7174,180.0,top
R19,220.2942,-77.4192,180.0,bottom
R2,208.9658,-70.104,180.0,bottom
R20,208.9658,-64.9478,180.0,bottom
R21,219.2782,-67.7164,0.0,bottom
R22,201.8284,-76.454,270.0,top
R23,201.8284,-76.454,90.0,bottom
R24,203.6064,-76.454,270.0,top
R25,203.6064,-76.454,90.0,bottom
R26,211.0,-93.37,180.0,bottom
R27,214.77,-93.32,180.0,bottom
R28,203.7334,-83.3374,270.0,bottom
R29,205.3082,-76.454,270.0,bottom
R3,208.9658,-68.453,180.0,bottom
R30,204.597,-94.6404,180.0,bottom
R31,204.5462,-87.0712,0.0,bottom
R32,207.3402,-76.454,270.0,bottom
R33,207.3402,-76.454,90.0,top
R34,217.7034,-63.246,180.0,bottom
R4,224.5868,-57.9628,180.0,top
R5,223.4184,-51.4096,0.0,bottom
R6,223.4184,-54.1528,0.0,bottom
R7,218.2114,-55.499,180.0,top
R8,218.2368,-50.0634,180.0,top
R9,218.2368,-52.7558,180.0,top
U1,227.203,-58.5978,90.0,bottom
U2,213.106,-62.8904,180.0,top
U3,216.3826,-74.9554,0.0,bottom
U4,225.4125,-95.0375,270.0,bottom
U5,215.2904,-68.8086,180.0,bottom
U6,218.2114,-92.0441,90.0,bottom
U7,204.9526,-79.9846,270.0,bottom
U8,204.47,-89.6112,0.0,bottom
Y1,210.693,-53.3146,0.0,top
