Designator,Footprint,Quantity,Value,LCSC Part #
"5V, CANH, CANL, GND",KEYSTONE_5116,4,TestPoint,
"C1, C2, C3",0603,3,0.1u,
C4,0603,1,10u,
D1,1206,1,GREEN,
D2,1206,1,RED,
F1,0154Series_LTF,1,400mA,
J1,PinSocket_5x2.54_SMD_90deg_952-3198-1-ND,1,Programming Header,
J3,CONN_SD-43045-001_04_MOL,1,BUS CONN,
J4,2171790001_MOL,1,USB_C_Receptacle_USB2.0_14P,
"PWR, TERM",PinHeader_1x02_P2.54mm_Vertical,2,Jumper,
"R1, R2",0603,2,330R,
"R3, R4",0603,2,10k,
R5,0603,1,120R,
"R6, R7",0603,2,5.1k,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,PIC16F1455,
U2,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562,
