Designator,Mid X,Mid Y,Rotation,Layer
5V,176.6,-50.775,0.0,top
C1,193.8539,-67.4116,180.0,top
C2,186.35,-61.0,90.0,top
C3,192.7352,-40.65,180.0,top
C4,182.0926,-47.0916,270.0,bottom
CANH,176.6,-42.775,0.0,top
CANL,176.6,-46.775,0.0,top
D1,177.6,-68.95,180.0,top
D2,177.6,-72.725,180.0,top
F1,179.5,-60.25,270.0,top
GND,176.6,-38.775,0.0,top
J1,187.1218,-57.2262,90.0,bottom
J3,187.724999,-33.221698,180.0,top
J4,185.625,-73.62325,0.0,top
PWR,196.0372,-33.7058,180.0,top
R1,177.6,-68.95,180.0,bottom
R2,177.6,-72.725,0.0,bottom
R3,195.084802,-54.907807,180.0,top
R4,195.9102,-64.4398,90.0,bottom
R5,180.213,-36.975,0.0,top
R6,187.6,-72.8,180.0,bottom
R7,183.65,-72.8,0.0,bottom
TERM,178.125529,-34.128245,90.0,top
U1,191.5,-61.9149,90.0,top
U2,189.025,-47.925,270.0,top
U3,184.75,-42.25,270.0,bottom
