"Source:","E:\Documents\Rocketry\canhw\vibBoard\vibBoard.kicad_sch"
"Date:","1/14/2024 2:33:34 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","E:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DigiKey"
"1","2","C1, C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","1276-6470-1-ND"
"2","1","C2","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","732-12169-1-ND"
"3","5","C4, C7, C10, C11, C12","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","311-1858-1-ND"
"4","2","C5, C6","27pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","1276-2622-1-ND"
"5","1","C8","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","490-18663-1-ND"
"6","1","C9","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","1276-1244-1-ND"
"7","1","D1","RED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","160-1457-1-ND"
"8","1","D2","GREEN","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","160-1188-1-ND"
"9","1","D3","BLUE","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","1830-1088-1-ND"
"10","1","F1","350mA Polyfuse","Device:Polyfuse","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","F3732CT-ND"
"11","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","",""
"12","1","J1","CAN Bus Connector","Connector:Conn_01x06_Pin","canhw:connector_Harwin_G125–MG10605M4P","~","",""
"13","1","J2","Programming Header","Connector:Conn_01x05_Female","canhw:PinHeader_5x2.54_SMD_90deg_952-3198-1-ND","~","","2073-BG300-05-A-L-ACT-ND"
"14","1","J3","Micro_SD_Card","Connector:Micro_SD_Card","canhw:microSD_Molex_WM6698CT-ND","http://katalog.we-online.de/em/datasheet/693072010801.pdf","","WM6698CT-ND"
"15","1","R1","200mR","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","WSLB-.20CT-ND"
"16","4","R2, R3, R4, R8","10kR","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","RMCF0805FT10K0CT-ND"
"17","3","R5, R6, R7","160R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","738-RMCF0805FT160RCT-ND"
"18","1","U1","SPX3819M5-L-3-3","Regulator_Linear:SPX3819M5-L-3-3","Package_TO_SOT_SMD:SOT-23-5","https://www.exar.com/content/document.ashx?id=22106&languageid=1033&type=Datasheet&partnumber=SPX3819&filename=SPX3819.pdf&part=SPX3819","","1016-1873-1-ND"
"19","1","U2","INA180","canhw:INA180","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/ds/symlink/ina180.pdf","","296-INA180A3QDBVRQ1CT-ND"
"20","1","U3","AIS3624DQTR",":AIS3624DQTR_1","canhw:QFN24L_4X4X0P5_STM","","","497-16268-1-ND"
"21","1","U4","PIC18F26K83","canhw:PIC18F26K83","Package_SO:SOIC-28W_7.5x18.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001943A.pdf","","PIC18LF26K83T-I/SOCT-ND"
"22","1","U5","MCP2562","canhw:MCP2562","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://hades.mech.northwestern.edu/images/5/5e/MCP2562.pdf","","MCP2562T-E/SNCT-ND"
"23","1","Y1","12MHz Crystal ","Device:Crystal","Crystal:Crystal_HC49-4H_Vertical","~","","535-9869-1-ND"
